in:24 out:23 type:B q:12.49 q-aq:11.79 q-noVbv:12.49 q-Rceq:1.08 tex:374 mv:160 misc:391 icu:20.25 pcu:22.75 scu:1781.00 ;
in:22 out:24 type:b q:13.80 q-aq:13.86 q-noVbv:13.80 q-Rceq:1.08 tex:7 mv:57 misc:244 icu:0.00 pcu:36.00 scu:1788.00 ;
in:23 out:25 type:b q:13.71 q-aq:13.69 q-noVbv:13.71 q-Rceq:1.08 tex:260 mv:85 misc:291 icu:24.00 pcu:6.25 scu:1793.75 ;
in:25 out:26 type:b q:13.53 q-aq:13.86 q-noVbv:13.53 q-Rceq:1.08 tex:4 mv:55 misc:235 icu:0.00 pcu:17.00 scu:1807.00 ;
in:29 out:27 type:P q:8.51 q-aq:1.20 q-noVbv:8.51 q-Rceq:1.08 tex:80995 mv:1368 misc:2918 icu:50.25 pcu:340.75 scu:1433.00 ;
in:28 out:28 type:B q:10.53 q-aq:10.46 q-noVbv:10.53 q-Rceq:1.08 tex:1951 mv:283 misc:419 icu:24.00 pcu:26.75 scu:1773.25 ;
in:27 out:29 type:b q:12.55 q-aq:12.70 q-noVbv:12.55 q-Rceq:1.08 tex:38 mv:122 misc:217 icu:0.00 pcu:33.00 scu:1791.00 ;
in:34 out:30 type:P q:7.39 q-aq:1.56 q-noVbv:7.39 q-Rceq:1.08 tex:24858 mv:626 misc:1942 icu:30.25 pcu:99.25 scu:1694.50 ;
in:32 out:31 type:B q:8.98 q-aq:8.73 q-noVbv:8.98 q-Rceq:1.08 tex:2405 mv:256 misc:430 icu:24.25 pcu:30.00 scu:1769.75 ;
in:30 out:32 type:b q:10.56 q-aq:10.69 q-noVbv:10.56 q-Rceq:1.08 tex:1544 mv:191 misc:350 icu:24.00 pcu:31.25 scu:1768.75 ;
in:31 out:33 type:b q:10.33 q-aq:9.74 q-noVbv:10.33 q-Rceq:1.08 tex:1964 mv:228 misc:377 icu:24.25 pcu:19.25 scu:1780.50 ;
in:33 out:34 type:b q:9.89 q-aq:9.86 q-noVbv:9.89 q-Rceq:1.08 tex:87 mv:59 misc:314 icu:0.00 pcu:14.00 scu:1810.00 ;
in:39 out:35 type:P q:5.44 q-aq:2.46 q-noVbv:5.44 q-Rceq:1.08 tex:15612 mv:587 misc:1067 icu:29.75 pcu:31.00 scu:1763.25 ;
in:37 out:36 type:B q:7.36 q-aq:6.75 q-noVbv:7.36 q-Rceq:1.08 tex:237 mv:112 misc:381 icu:20.00 pcu:9.50 scu:1794.50 ;
in:35 out:37 type:b q:9.27 q-aq:8.78 q-noVbv:9.27 q-Rceq:1.08 tex:67 mv:77 misc:231 icu:8.00 pcu:36.00 scu:1780.00 ;
in:36 out:38 type:b q:8.88 q-aq:8.69 q-noVbv:8.88 q-Rceq:1.08 tex:551 mv:114 misc:305 icu:24.25 pcu:13.25 scu:1786.50 ;
